,Age,Gender,Profession,Income,Job_Sat
129,37,Female,Office_Job,56589.40028,0
130,46,Male,Manual_Labor,14466.96634,4
131,24,Male,Unemployed,2936.662296,1
132,25,Male,Unemployed,8337.976352,2
133,58,Female,Manual_Labor,12995.15501,1
134,32,Male,Unemployed,4325.940446,5
135,42,Female,Manual_Labor,8664.751935,2
136,34,Female,Office_Job,45628.24846,2
137,60,Female,Finance,502022.988,2
138,44,Male,Office_Job,44909.80267,2
139,55,Female,Unemployed,0,2
140,20,Male,Office_Job,39525.15422,1
141,44,Male,Manual_Labor,16516.59762,1
142,36,Male,Unemployed,0,2
143,35,Female,Office_Job,55334.69355,3
144,34,Male,Manual_Labor,18918.82472,3
145,41,Female,Manual_Labor,18908.17849,4
146,60,Female,Unemployed,0,2
147,49,Male,Manual_Labor,3685.554281,2
148,25,Male,Manual_Labor,9582.608028,5
149,53,Male,Office_Job,59795.59345,0
150,18,Male,Unemployed,7788.720442,5
151,36,Male,Manual_Labor,18409.32147,4
152,29,Male,RichDaddy,997355.3144,5
153,25,Female,Unemployed,5425.236034,1
154,32,Female,Office_Job,55843.97664,4
155,27,Male,Unemployed,0,5
156,25,Female,Manual_Labor,12967.00642,0
157,28,Female,Manual_Labor,14026.14016,1
158,41,Female,Manual_Labor,8927.745607,0
159,59,Male,Office_Job,43662.35413,5
160,26,Male,Unemployed,0,4
161,45,Female,RichDaddy,1001643.901,2
162,56,Male,Office_Job,54552.39968,4
163,23,Female,Manual_Labor,20698.06397,0
164,48,Male,Finance,499867.1999,4
165,44,Male,Finance,500945.1274,1
166,41,Male,Office_Job,55060.67469,2
167,27,Female,Unemployed,0,4
168,27,Male,Unemployed,0,0
169,56,Male,Unemployed,3253.539986,4
170,24,Male,Unemployed,2514.547422,5
171,27,Female,Manual_Labor,23072.52482,4
172,41,Male,Manual_Labor,15577.02183,5
173,44,Female,Office_Job,55242.93048,2
174,28,Male,Manual_Labor,15538.64558,3
175,24,Female,Finance,501440.2138,3
176,27,Male,Manual_Labor,7967.318182,2
177,58,Male,Office_Job,45565.06103,2
178,22,Female,Office_Job,56630.06277,5
179,21,Female,Office_Job,52182.8875,4
180,19,Female,Unemployed,0,4
181,28,Male,Unemployed,1702.4535,3
182,31,Female,Office_Job,47618.86223,3
183,56,Male,Unemployed,0,5
184,46,Male,Office_Job,46024.6518,1
185,32,Male,Office_Job,52584.21185,1
186,45,Male,Manual_Labor,14436.41551,5
187,22,Female,Office_Job,52986.50185,0
188,41,Female,Office_Job,54216.41892,1
189,60,Female,Finance,502256.6895,3
190,53,Female,Office_Job,47436.14254,4
191,29,Female,Unemployed,0,4
192,29,Male,Manual_Labor,13897.40774,1
193,18,Female,Manual_Labor,23509.88622,1
194,42,Female,Finance,497042.6395,5
195,31,Male,Unemployed,1752.3716,3
196,46,Female,Manual_Labor,15695.24226,2
197,35,Male,Manual_Labor,7838.095032,0
198,60,Male,Office_Job,42847.82363,3
199,49,Male,Finance,508433.3919,5
200,44,Male,Office_Job,45103.22826,0
201,18,Male,Manual_Labor,14893.65292,2
202,54,Male,Unemployed,2599.309083,2
203,24,Male,Finance,490471.9132,1
204,21,Female,Unemployed,666.5222024,5
205,30,Female,Unemployed,0,5
206,36,Female,RichDaddy,1000142.659,3
207,45,Female,Office_Job,45528.80182,3
208,50,Female,Unemployed,0,2
209,19,Female,Unemployed,1214.689044,0
210,36,Male,RichDaddy,998392.7936,2
211,28,Female,Manual_Labor,13439.68182,5
212,31,Female,Office_Job,52220.2426,0
213,55,Female,Unemployed,0,2
214,27,Male,Office_Job,48576.38625,1
215,48,Male,RichDaddy,1000568.705,1
216,58,Female,Unemployed,1419.194357,2
217,31,Male,Office_Job,53420.88232,2
218,37,Male,Manual_Labor,10097.03661,0
219,51,Male,Office_Job,46558.63023,1
220,30,Female,Manual_Labor,23505.98393,4
221,32,Female,Unemployed,15008.03198,2
222,50,Male,Office_Job,40098.73553,3
223,44,Female,Office_Job,51163.9199,3
224,32,Male,Office_Job,55478.73197,5
225,18,Male,Office_Job,46300.6378,0
226,37,Female,Unemployed,0,5
227,37,Female,Manual_Labor,13968.5177,3
228,44,Female,Office_Job,51144.883,4
229,28,Female,Unemployed,6841.074256,3
230,31,Male,Unemployed,2042.557955,4
231,33,Male,Manual_Labor,0,1
232,19,Female,Office_Job,49512.16766,1
233,28,Male,Unemployed,1561.853067,5
234,60,Male,Office_Job,45745.72498,2
235,59,Male,Unemployed,4919.96082,5
236,31,Female,Unemployed,4724.316815,2
237,24,Female,Finance,500353.9011,5
238,19,Male,Office_Job,47018.78061,1
239,30,Female,Unemployed,0,5
240,34,Male,Unemployed,0,3
241,59,Female,Office_Job,52542.65064,1
242,19,Male,Unemployed,5342.039406,2
243,52,Female,Office_Job,52791.33654,2
244,36,Male,Unemployed,1761.066613,4
245,43,Male,Manual_Labor,11772.53251,3
246,57,Female,Office_Job,50474.04669,0
247,18,Female,Manual_Labor,11776.8987,0
248,50,Male,Office_Job,53372.30998,5
249,23,Male,Office_Job,52110.76668,4
250,57,Male,Office_Job,57975.56527,3
251,25,Male,Finance,493087.0535,5
252,58,Male,Manual_Labor,10952.68669,4
253,42,Male,Unemployed,1045.77993,1
254,18,Male,Manual_Labor,13740.46425,1
255,47,Female,RichDaddy,1002473.328,2
256,26,Male,RichDaddy,1004133.859,0
257,43,Male,Manual_Labor,15611.65378,0
258,57,Female,Unemployed,3711.911648,4
259,36,Female,Manual_Labor,24118.61987,3
260,33,Female,RichDaddy,993666.9101,5
261,53,Male,Unemployed,2490.783674,4
262,22,Male,Manual_Labor,17289.97841,5
263,39,Female,Unemployed,0,4
264,51,Female,Manual_Labor,18378.23849,3
265,38,Male,Unemployed,0,2
266,48,Male,Finance,500870.2807,1
267,20,Female,Manual_Labor,15374.53057,0
268,43,Female,Manual_Labor,15924.33151,4
269,43,Female,Office_Job,50460.21578,0
270,34,Male,Office_Job,49950.34199,3
271,31,Male,Unemployed,371.0921066,2
272,37,Male,Manual_Labor,10770.58354,5
273,18,Female,Manual_Labor,15216.40475,1
274,25,Male,Office_Job,49715.3425,1
275,30,Male,Manual_Labor,11555.46858,2
276,43,Male,Manual_Labor,3827.907712,2
277,33,Male,Unemployed,0,1
278,51,Male,Office_Job,53282.24452,4
279,30,Female,Office_Job,46068.82235,3
280,53,Male,Manual_Labor,15209.88733,0
281,20,Female,Manual_Labor,13760.84864,1
282,47,Female,Unemployed,2585.54657,0
283,24,Female,Manual_Labor,11151.55533,3
284,57,Male,Unemployed,0,3
285,22,Male,Unemployed,0,4
286,27,Female,Unemployed,0,5
287,34,Male,Manual_Labor,15605.1789,2
288,58,Female,Manual_Labor,22330.90362,2
289,29,Female,Manual_Labor,16200.53312,5
290,36,Male,Office_Job,49110.87964,5
291,57,Male,Office_Job,39222.14947,2
292,39,Female,Office_Job,44058.60911,4
293,43,Male,Unemployed,0,1
294,60,Male,Office_Job,51717.20516,5
295,36,Female,Unemployed,0,0
296,26,Male,Manual_Labor,24274.72583,1
297,45,Female,Manual_Labor,15121.32493,3
298,39,Female,Unemployed,6628.777179,0
299,28,Male,Office_Job,53196.54786,2
300,35,Male,Manual_Labor,11115.98834,5
301,37,Male,Manual_Labor,15097.36303,4
302,31,Female,Unemployed,0,1
303,42,Female,Office_Job,49489.9855,4
304,57,Male,Office_Job,43680.75606,3
305,31,Male,Office_Job,45656.62007,5
306,19,Female,Manual_Labor,26077.3484,2
307,35,Female,Office_Job,48662.70341,2
308,59,Female,Finance,505552.0583,0
309,20,Female,Office_Job,45244.00429,0
310,27,Male,Manual_Labor,21672.9507,0
311,24,Female,Manual_Labor,22266.16194,4
312,47,Female,Manual_Labor,20751.64839,2
313,43,Male,Office_Job,47203.99662,5
314,53,Male,Finance,485353.025,5
315,44,Male,Manual_Labor,24081.06151,5
316,42,Female,Unemployed,387.8050878,3
317,27,Male,RichDaddy,1002774.788,0
318,45,Male,Office_Job,50051.72674,4
319,40,Male,RichDaddy,1000953.683,5
320,43,Female,Manual_Labor,17289.23311,4
321,32,Female,Manual_Labor,10419.2407,1
322,41,Female,Unemployed,1436.440901,2
323,34,Female,Unemployed,8379.603573,3
324,27,Female,RichDaddy,1001062.051,3
325,32,Female,Manual_Labor,15871.09401,4
326,22,Female,Unemployed,0,2
327,46,Male,Office_Job,48912.2839,5
328,52,Female,Finance,495829.824,1
329,55,Female,Unemployed,0,0
330,50,Female,Manual_Labor,9121.831384,4
331,23,Female,Office_Job,45302.48225,2
332,35,Male,Unemployed,2668.162642,3
333,26,Male,Unemployed,5436.293467,5
334,41,Male,Unemployed,7375.250313,1
335,41,Male,Manual_Labor,21777.94504,2
336,18,Male,Manual_Labor,11660.46654,1
337,58,Female,Manual_Labor,18258.41509,3
338,39,Female,Office_Job,56208.1336,4
339,24,Male,Office_Job,64183.01102,4
340,58,Female,Unemployed,2567.085151,5
341,42,Male,Unemployed,0,4
342,38,Female,Office_Job,47589.55337,0
343,48,Female,Office_Job,48303.12327,3
344,60,Female,Unemployed,0,1
345,41,Male,Manual_Labor,16615.26472,2
346,50,Male,Unemployed,2033.097126,5
347,37,Female,Unemployed,9369.704279,5
348,38,Female,Office_Job,52688.18048,2
349,33,Female,Unemployed,301.2893234,2
350,52,Male,Finance,492684.4681,1
351,42,Female,Office_Job,47014.97561,0
352,58,Male,Manual_Labor,21082.76286,0
353,53,Female,Office_Job,49283.93928,1
354,26,Male,Unemployed,2720.146866,2
355,28,Male,Unemployed,0,2
356,43,Male,Manual_Labor,9536.780916,1
357,45,Female,Manual_Labor,12500.68674,2
358,41,Female,Manual_Labor,15517.46159,1
359,21,Male,Finance,507866.6839,3
360,19,Female,Office_Job,49192.98443,4
361,57,Male,RichDaddy,1002420.675,1
362,47,Female,Manual_Labor,17741.24025,2
363,56,Male,Manual_Labor,23180.70093,2
364,27,Male,Unemployed,0,2
365,52,Male,Manual_Labor,23729.88674,4
366,46,Male,Office_Job,51586.81014,0
367,23,Female,Office_Job,49190.2813,2
368,57,Male,Unemployed,0,2
369,33,Female,Manual_Labor,17035.8923,2
370,59,Male,Manual_Labor,11427.94547,1
371,20,Female,Finance,499794.7295,3
372,24,Male,Finance,497425.3409,1
373,42,Female,Office_Job,45742.69361,0
374,41,Female,Unemployed,0,2
375,44,Male,Manual_Labor,18315.48551,4
376,59,Male,Office_Job,45616.8587,0
377,52,Female,Unemployed,1581.985606,2
378,23,Female,Unemployed,0,0
379,48,Male,Unemployed,7250.32688,2
380,41,Male,Office_Job,46149.84867,2
381,23,Male,Office_Job,59618.4361,0
382,37,Male,Unemployed,277.1361636,5
383,47,Male,Manual_Labor,14744.58515,0
384,32,Male,Unemployed,0,1
385,53,Female,Office_Job,51944.4157,2
386,46,Female,Unemployed,0,5
387,47,Female,Manual_Labor,7925.498209,0
388,32,Male,Unemployed,0,3
389,24,Female,Manual_Labor,11648.96624,1
390,43,Female,Unemployed,0,5
391,29,Female,RichDaddy,1002429.012,4
392,39,Male,Manual_Labor,10206.21131,4
393,40,Female,Unemployed,0,2
394,24,Female,Office_Job,48523.73973,0
395,19,Male,RichDaddy,1002939.871,1
396,38,Female,Manual_Labor,14567.83039,3
397,54,Male,Office_Job,34218.01847,4
398,43,Male,Unemployed,0,3
399,25,Female,Manual_Labor,11541.45764,5
400,40,Male,Office_Job,47825.2124,5
401,40,Female,Office_Job,48869.47354,4
402,33,Female,Unemployed,2018.819887,0
403,55,Male,Office_Job,50554.56741,5
404,47,Female,Finance,492911.539,2
405,46,Female,Office_Job,57816.08725,3
406,48,Female,Office_Job,51379.02061,4
407,20,Male,Unemployed,0,5
408,46,Male,Unemployed,0,4
409,25,Male,Office_Job,59837.79812,4
410,48,Female,Unemployed,0,0
411,26,Female,RichDaddy,998903.2236,3
412,51,Female,Finance,504840.017,3
413,52,Male,RichDaddy,1002601.71,4
414,27,Female,Manual_Labor,9782.95555,2
415,59,Female,Manual_Labor,2478.60303,4
416,30,Male,Manual_Labor,5110.409829,0
417,33,Female,Finance,503938.3909,2
418,50,Female,Manual_Labor,14150.00258,5
419,42,Female,Office_Job,51556.82188,2
420,40,Male,RichDaddy,1004503.897,4
421,50,Female,Unemployed,6339.714162,4
422,39,Female,Unemployed,4639.115974,4
423,59,Male,Unemployed,1224.959321,3
424,39,Female,Office_Job,44118.92912,1
425,30,Female,Office_Job,53851.70247,1
426,44,Female,Office_Job,57552.74782,1
427,28,Male,Unemployed,0,0
428,21,Male,Manual_Labor,15021.52462,0
429,41,Female,Office_Job,56618.95842,1
430,27,Female,Office_Job,54007.08203,3
431,38,Female,Manual_Labor,7954.679584,4
432,39,Male,RichDaddy,995372.6801,1
433,50,Male,Office_Job,46579.19227,1
434,51,Female,Unemployed,2472.539089,3
435,55,Male,Unemployed,0,1
436,36,Female,Unemployed,0,0
437,22,Male,Unemployed,0,5
438,26,Female,Unemployed,2123.461226,2
439,19,Female,Manual_Labor,19014.54545,0
440,58,Male,Unemployed,0,2
441,24,Male,Office_Job,48147.00508,0
442,22,Female,Unemployed,1629.011815,4
443,18,Male,Manual_Labor,16855.27241,3
444,48,Male,Office_Job,42416.41692,1
445,54,Female,Office_Job,45572.55788,4
446,20,Female,Office_Job,52072.26098,2
447,23,Male,Manual_Labor,14234.4454,0
448,60,Female,Office_Job,52929.18974,2
449,26,Female,Manual_Labor,13681.03899,5
450,28,Male,Unemployed,4794.417009,1
451,43,Female,Unemployed,0,3
452,33,Female,Office_Job,49811.61134,5
453,47,Female,Manual_Labor,14730.47522,4
454,56,Male,Manual_Labor,7308.230102,1
455,24,Female,Unemployed,9547.122141,5
456,27,Male,Unemployed,8182.623908,5
457,31,Male,RichDaddy,1003274.974,1
458,33,Female,Manual_Labor,14433.82755,5
459,58,Male,Office_Job,47191.84553,3
460,48,Male,Office_Job,43253.69805,3
461,55,Male,Finance,497395.7334,0
462,27,Female,Office_Job,47740.48904,0
463,25,Female,Office_Job,46027.54297,5
464,20,Male,Unemployed,0,1
465,58,Female,Office_Job,59910.1095,0
466,18,Female,Unemployed,0,3
467,48,Female,Manual_Labor,16020.18218,3
468,19,Male,Unemployed,0,4
469,35,Female,Office_Job,44298.6433,0
470,56,Female,Unemployed,6520.082089,5
471,21,Female,Office_Job,57846.86653,5
472,20,Male,Office_Job,50255.23181,5
473,47,Female,Unemployed,4885.649619,3
474,55,Female,Office_Job,45402.96982,4
475,33,Female,Office_Job,42762.34106,2
476,59,Female,Unemployed,0,3
477,46,Male,Office_Job,51037.01827,1
478,39,Male,Manual_Labor,7186.122416,3
479,52,Male,Office_Job,54106.26128,0
480,56,Female,Manual_Labor,16616.43941,4
481,40,Female,Manual_Labor,12998.67435,5
482,39,Female,Manual_Labor,11341.08182,4
483,44,Female,Manual_Labor,13722.06888,2
484,28,Male,Office_Job,45559.91659,2
485,51,Female,Unemployed,0,2
486,38,Male,Unemployed,0,3
487,43,Female,Unemployed,1190.065603,0
488,33,Female,Office_Job,50135.64588,5
489,30,Female,Unemployed,0,1
490,47,Female,Manual_Labor,10677.6426,0
491,35,Female,Office_Job,56795.63759,4
492,50,Male,Manual_Labor,17072.31089,4
493,50,Male,Unemployed,6277.843393,5
494,36,Male,Manual_Labor,15955.74143,3
495,36,Female,Office_Job,47950.23733,5
496,55,Female,Office_Job,57759.00624,3
497,36,Female,Unemployed,0,4
498,40,Male,Office_Job,45956.43219,3
499,36,Male,Unemployed,8619.053592,0
500,23,Male,Office_Job,48617.92054,2
501,58,Female,Office_Job,56465.07545,0
502,57,Male,Office_Job,52498.35017,2
503,19,Female,Finance,494606.5011,2
504,53,Male,Unemployed,3097.718022,5
505,38,Male,Office_Job,37285.5436,0
506,38,Male,Office_Job,45800.13508,4
507,21,Male,Unemployed,3249.919379,1
508,18,Female,Manual_Labor,14117.27376,1
509,59,Female,Manual_Labor,22588.35225,1
510,48,Male,Unemployed,0,4
511,59,Female,Manual_Labor,15327.67472,5
512,20,Male,Manual_Labor,7798.780088,2
513,41,Female,Unemployed,4485.70242,0
514,41,Female,Office_Job,43981.80501,2
515,21,Male,Office_Job,53464.72883,0
516,18,Female,Office_Job,51477.28089,3
517,19,Male,Office_Job,48245.94042,5
518,21,Female,Manual_Labor,22061.09424,0
519,44,Female,Office_Job,54403.51939,1
520,38,Male,Manual_Labor,12274.45679,1
521,31,Male,Unemployed,0,4
522,40,Male,Office_Job,48629.65001,3
523,42,Male,Manual_Labor,21271.49242,0
524,41,Male,Unemployed,4790.798589,0
525,19,Male,Manual_Labor,17714.99964,2
526,34,Female,Office_Job,30904.35612,0
527,18,Male,Unemployed,0,2
528,44,Male,Manual_Labor,17189.02131,2
529,40,Female,Office_Job,52536.52571,1
530,36,Female,Manual_Labor,19982.06101,4
531,52,Male,Unemployed,0,3
532,39,Male,Manual_Labor,14237.4921,1
533,54,Male,Unemployed,0,1
534,27,Male,Office_Job,53013.013,2
535,19,Male,Manual_Labor,14458.31151,0
536,26,Male,Manual_Labor,15977.85602,3
537,47,Male,Unemployed,2221.952889,3
538,41,Male,Manual_Labor,7024.126459,2
539,51,Male,Unemployed,0,0
540,53,Male,Unemployed,2349.477649,0
541,41,Male,Office_Job,44294.0832,1
542,59,Male,Unemployed,2055.20135,4
543,38,Female,Manual_Labor,13863.22281,3
544,59,Male,Unemployed,0,2
545,20,Female,Manual_Labor,15759.46058,5
546,39,Male,Office_Job,48283.93871,0
547,39,Female,Unemployed,0,0
548,26,Male,Finance,500719.2157,4
549,29,Female,Office_Job,54368.46098,0
550,19,Female,Unemployed,0,0
551,26,Female,RichDaddy,1005160.996,0
552,44,Female,Unemployed,0,1
553,57,Male,Office_Job,41187.32325,4
554,45,Female,Office_Job,55347.32864,2
555,29,Female,Office_Job,39822.47042,3
556,25,Female,Unemployed,2439.619401,2
557,44,Male,Office_Job,50020.77051,2
558,39,Female,RichDaddy,989503.6866,1
559,28,Female,Unemployed,0,3
560,49,Male,Office_Job,52177.38931,4
561,18,Male,Manual_Labor,12056.86654,0
562,23,Male,Manual_Labor,15006.26049,4
563,25,Female,Manual_Labor,22003.2386,4
564,58,Female,Unemployed,5884.265055,4
565,44,Female,Unemployed,3294.966276,2
566,37,Female,Manual_Labor,22038.40501,1
567,50,Female,Office_Job,43002.54916,5
568,38,Female,Unemployed,0,1
569,60,Male,Unemployed,0,2
570,46,Female,Office_Job,52637.70319,4
571,51,Female,Manual_Labor,15793.78928,3
572,41,Female,RichDaddy,1002819.909,5
573,18,Female,Unemployed,5597.865274,2
574,44,Male,Office_Job,48852.85963,2
575,32,Female,Unemployed,1213.44103,1
576,44,Female,Manual_Labor,12672.07814,1
577,60,Male,Manual_Labor,21193.03774,4
578,18,Male,Unemployed,0,1
579,51,Female,Unemployed,12211.99369,2
580,55,Female,Manual_Labor,12741.22746,5
581,53,Male,Office_Job,44730.57183,4
582,33,Female,Unemployed,0,3
583,45,Male,Office_Job,50052.53506,4
584,43,Male,Manual_Labor,21361.97171,2
585,27,Female,Office_Job,61189.42622,3
586,30,Female,Office_Job,45846.76236,1
587,29,Female,Office_Job,48054.12112,0
588,36,Male,Unemployed,7315.891275,5
589,58,Female,Manual_Labor,11581.94771,4
590,32,Male,Office_Job,46320.37628,0
591,21,Female,Manual_Labor,19488.06172,4
592,23,Male,Unemployed,4330.82234,4
593,24,Male,Office_Job,53273.72647,0
594,43,Female,Office_Job,49302.91458,1
595,31,Male,Finance,497977.588,5
596,25,Male,Manual_Labor,19585.96523,0
597,47,Female,Manual_Labor,19838.99005,5
598,26,Male,Manual_Labor,16394.19815,3
599,43,Female,Unemployed,2412.272496,1
600,25,Female,Office_Job,46541.50841,2
601,59,Male,Manual_Labor,9184.380943,5
602,27,Female,Finance,488973.8185,4
603,22,Male,Office_Job,46861.93065,4
604,24,Male,Manual_Labor,11268.04836,2
605,51,Female,Unemployed,1370.717842,2
606,38,Female,Unemployed,0,4
607,53,Female,Manual_Labor,17140.40045,5
608,19,Male,Manual_Labor,4568.508054,4
609,27,Female,Office_Job,44728.1705,2
610,22,Female,Office_Job,52031.88174,2
611,56,Female,Manual_Labor,5758.285871,3
612,43,Female,Unemployed,3444.049465,3
613,56,Female,Manual_Labor,16106.04068,1
614,37,Male,Unemployed,1988.845752,5
615,25,Female,Unemployed,0,0
616,31,Male,Manual_Labor,14550.37004,3
617,49,Female,Office_Job,42626.96557,2
618,30,Male,Manual_Labor,11854.64986,0
619,22,Female,Unemployed,0,0
620,49,Female,Office_Job,51734.28545,1
621,44,Female,Manual_Labor,18557.59515,4
622,43,Male,RichDaddy,997014.2847,3
623,43,Female,Office_Job,52677.29894,4
624,24,Female,Unemployed,3027.062864,4
625,23,Male,Unemployed,1512.193623,4
626,57,Male,Manual_Labor,16067.34059,4
627,18,Female,Manual_Labor,7174.431548,4
628,53,Female,Office_Job,36523.80149,1
629,43,Male,Office_Job,43631.62153,3
630,43,Female,Unemployed,7433.301054,2
631,51,Male,Manual_Labor,18151.62538,0
632,18,Female,Unemployed,0,2
633,40,Male,Manual_Labor,12581.7694,3
634,29,Male,Finance,505176.6366,2
635,40,Male,Unemployed,0,0
636,51,Male,Unemployed,0,5
637,56,Male,Unemployed,1229.724173,0
638,23,Male,RichDaddy,995713.6971,2
639,56,Male,Manual_Labor,15809.41224,1
640,33,Female,Unemployed,0,3
641,21,Male,Office_Job,53950.84228,4
642,32,Male,Manual_Labor,14087.16616,2
643,19,Male,RichDaddy,995686.1725,4
644,23,Female,Manual_Labor,19898.06802,0
645,52,Female,Office_Job,39903.14474,0
646,35,Female,Office_Job,52680.60441,0
647,35,Male,Finance,494792.3863,3
648,49,Male,Office_Job,57455.30319,5
649,47,Female,Unemployed,2642.109946,4
650,37,Female,Unemployed,0,4
651,47,Male,Unemployed,0,1
652,19,Male,Unemployed,0,1
653,38,Male,Manual_Labor,20225.66687,0
654,52,Female,Office_Job,54445.46845,5
655,20,Female,Manual_Labor,11489.09888,4
656,57,Male,RichDaddy,999512.842,5
657,34,Female,Manual_Labor,15376.80876,4
658,45,Male,Manual_Labor,14530.61415,0
659,25,Female,RichDaddy,1000282.448,5
660,45,Female,Office_Job,55329.87341,1
661,31,Female,Manual_Labor,17202.89176,4
662,40,Male,Office_Job,42054.12702,2
663,47,Male,Office_Job,44934.67304,5
664,44,Male,Manual_Labor,11103.98497,3
665,49,Male,Manual_Labor,15915.26642,2
666,52,Male,Manual_Labor,14293.08523,0
