,Age,Gender,GotPowers,SuperSerum,GotMutation
200,17,Male,1,1,0
201,3,Female,1,1,0
202,8,Male,1,1,0
203,25,Female,1,1,0
204,18,Female,1,1,0
205,6,Male,1,0,0
206,2,Male,0,0,0
207,8,Male,1,1,0
208,49,Female,1,1,0
209,3,Female,1,1,0
210,40,Male,1,1,0
211,29,Female,1,0,0
212,13,Female,1,0,0
213,33,Female,1,0,0
214,43,Female,1,0,0
215,36,Male,1,1,0
216,36,Male,1,1,0
217,50,Male,1,1,0
218,38,Female,1,1,0
219,33,Female,1,1,0
220,44,Male,1,0,0
221,10,Male,1,1,0
222,40,Female,1,0,0
223,34,Male,1,1,0
224,46,Male,1,1,0
225,48,Male,1,0,0
226,35,Male,1,0,0
227,6,Male,1,0,0
228,11,Female,1,1,0
229,36,Male,1,1,0
230,24,Female,1,0,0
231,41,Male,0,1,0
232,48,Female,1,0,0
233,5,Female,1,0,0
234,7,Male,1,0,0
235,14,Male,1,0,0
236,45,Male,1,1,0
237,37,Female,1,0,0
238,27,Female,1,0,0
239,33,Female,1,1,0
240,40,Male,1,1,0
241,1,Male,1,0,0
242,41,Male,1,0,0
243,16,Male,1,1,0
244,10,Female,1,1,0
245,39,Female,1,0,0
246,8,Female,0,0,0
247,1,Male,1,0,0
248,13,Male,1,0,0
249,43,Male,1,0,0
250,21,Female,1,1,0
251,22,Male,1,0,0
252,31,Male,1,0,0
253,50,Male,1,1,0
254,24,Female,1,1,0
255,12,Male,1,1,0
256,34,Female,1,0,0
257,33,Male,1,0,0
258,45,Male,1,1,0
259,17,Male,1,0,0
260,3,Female,1,0,0
261,1,Male,1,1,0
262,35,Female,0,1,0
263,38,Female,1,0,0
264,48,Male,0,1,0
265,38,Male,1,1,0
266,33,Male,1,0,0
267,29,Male,1,0,0
268,32,Female,1,1,0
269,37,Female,1,1,0
270,30,Male,1,0,0
271,5,Female,1,0,0
272,5,Male,1,1,0
273,28,Male,1,1,0
274,43,Male,1,1,0
275,50,Male,1,1,0
276,33,Female,1,0,0
277,27,Male,1,0,0
278,10,Male,1,0,0
279,24,Female,1,0,0
280,9,Male,1,1,0
281,12,Male,1,0,0
282,10,Male,1,1,0
283,2,Male,1,0,0
284,38,Male,1,1,0
285,20,Male,1,1,0
286,35,Male,0,0,0
287,23,Male,1,1,0
288,2,Female,1,1,0
289,39,Male,1,0,0
290,33,Male,1,0,0
291,34,Male,1,1,0
292,3,Male,1,1,0
293,27,Male,1,1,0
294,10,Male,1,1,0
295,23,Male,1,1,0
296,7,Female,1,1,0
297,10,Male,1,0,0
298,14,Male,0,1,0
299,43,Male,1,0,0
300,50,Male,1,0,0
301,18,Male,1,1,0
302,7,Male,1,0,0
303,28,Male,1,1,0
304,6,Male,1,1,0
305,14,Female,1,0,0
306,18,Male,0,0,0
307,25,Female,1,1,0
308,8,Female,1,1,0
309,25,Female,1,1,0
310,16,Male,1,0,0
311,33,Male,1,0,0
312,18,Male,1,1,0
313,34,Male,1,0,0
314,29,Male,1,0,0
315,36,Male,1,0,0
316,42,Male,1,1,0
317,29,Male,1,1,0
318,43,Female,0,0,0
319,34,Male,1,1,0
320,32,Female,0,1,0
321,32,Male,1,1,0
322,48,Male,1,0,0
323,1,Male,1,0,0
324,11,Male,1,0,0
325,2,Male,1,0,0
326,10,Male,1,0,0
327,33,Male,1,0,0
328,30,Male,1,0,0
329,50,Male,1,1,0
330,47,Male,1,0,0
331,20,Male,1,0,0
332,23,Female,1,1,0
333,36,Male,0,0,0
334,24,Female,1,0,0
335,25,Female,1,0,0
336,19,Male,1,0,0
337,37,Male,1,0,0
338,49,Female,1,1,0
339,3,Female,1,1,0
340,27,Male,1,1,0
341,27,Male,1,1,0
342,39,Female,1,0,0
343,35,Male,1,0,0
344,11,Female,1,0,0
345,23,Female,1,1,1
346,21,Male,1,0,0
347,11,Female,1,0,0
348,29,Male,1,1,0
349,37,Male,1,1,0
350,43,Female,1,0,0
351,18,Male,1,1,0
352,19,Male,1,0,0
353,42,Male,1,0,0
354,35,Female,1,0,0
355,22,Female,1,0,0
356,23,Male,1,0,0
357,41,Female,1,1,0
358,25,Male,1,1,0
359,32,Female,1,0,0
360,6,Female,1,0,0
361,22,Male,1,1,0
362,9,Female,1,1,0
363,33,Female,1,0,0
364,39,Male,1,1,0
365,27,Male,1,1,0
366,3,Male,1,0,0
367,21,Female,1,0,0
368,50,Female,1,0,0
369,44,Female,0,0,0
370,3,Female,1,0,0
371,31,Female,1,0,0
372,7,Male,1,1,0
373,35,Female,1,0,0
374,32,Male,1,1,0
375,34,Female,1,0,0
376,13,Male,1,1,0
377,28,Male,1,0,0
378,38,Female,1,1,0
379,25,Male,1,1,0
380,28,Male,1,0,0
381,16,Female,1,0,0
382,42,Male,1,1,0
383,50,Male,1,0,0
384,14,Male,1,1,0
385,35,Male,1,0,0
386,23,Male,0,1,0
387,47,Female,1,0,0
388,26,Male,1,1,0
389,20,Male,1,1,0
390,30,Male,0,1,0
391,6,Female,1,1,0
392,9,Female,1,0,0
393,12,Female,1,0,0
394,21,Male,1,0,0
395,29,Male,1,1,0
396,5,Male,1,1,0
397,1,Female,1,1,0
398,17,Male,1,0,0
399,2,Male,1,1,0
400,23,Male,1,1,0
401,25,Female,1,1,0
402,42,Male,1,0,0
403,37,Male,1,1,0
404,9,Female,1,1,0
405,7,Male,1,0,0
406,36,Female,1,1,0
407,35,Female,1,1,0
408,23,Female,1,0,0
409,30,Male,1,1,0
410,27,Male,1,0,0
411,41,Male,1,0,0
412,9,Male,1,1,0
413,41,Male,1,1,0
414,31,Male,1,0,0
415,17,Male,1,0,0
416,7,Male,1,0,0
417,47,Male,1,0,0
418,9,Female,1,1,0
419,33,Male,0,1,0
420,37,Male,0,0,0
421,45,Male,1,0,0
422,41,Male,1,0,0
423,34,Female,1,1,0
424,40,Male,1,1,0
425,36,Male,1,1,0
426,4,Female,1,1,0
427,13,Female,1,1,0
428,7,Male,1,1,0
429,3,Male,1,0,0
430,44,Male,1,1,0
431,16,Male,1,1,0
432,13,Male,1,0,0
433,27,Male,0,0,0
434,10,Male,1,1,0
435,23,Male,1,1,0
436,36,Male,1,1,0
437,8,Male,1,1,0
438,45,Male,1,1,0
439,50,Male,1,1,0
440,16,Male,1,0,0
441,44,Male,1,1,0
442,41,Male,1,0,0
443,39,Female,1,1,0
444,48,Female,1,1,0
445,39,Male,1,1,0
446,36,Male,1,1,0
447,39,Male,1,0,0
448,6,Male,1,1,0
449,6,Male,1,0,0
450,47,Male,1,1,0
451,5,Male,1,1,0
452,13,Male,1,1,0
453,39,Male,1,0,0
454,48,Male,1,0,0
455,38,Male,1,0,0
456,14,Male,1,1,0
457,24,Female,1,0,0
458,50,Female,1,0,0
459,7,Female,1,0,0
460,32,Male,0,0,0
461,41,Male,1,0,0
462,31,Male,1,1,0
463,20,Male,1,0,0
464,22,Male,1,1,0
465,19,Male,1,1,0
466,31,Male,1,0,0
467,11,Male,0,1,0
468,26,Female,1,0,0
469,25,Male,1,1,0
470,11,Female,1,0,0
471,6,Female,0,1,0
472,6,Female,1,1,0
473,14,Male,1,0,0
474,32,Female,0,1,0
475,36,Male,1,1,0
476,10,Male,1,1,0
477,44,Male,1,0,0
478,27,Male,1,0,0
479,24,Female,1,0,0
480,20,Female,1,0,0
481,39,Male,1,0,0
482,10,Male,1,0,0
483,49,Male,1,1,0
484,40,Male,1,0,0
485,43,Female,1,1,0
486,33,Male,1,0,0
487,43,Female,1,1,0
488,43,Male,1,1,0
489,5,Male,1,1,0
490,18,Male,1,1,0
491,22,Male,1,1,0
492,38,Male,1,1,0
493,30,Male,1,1,0
494,33,Male,1,1,0
495,31,Male,1,0,0
496,8,Male,1,0,0
497,18,Male,1,0,0
498,41,Male,0,1,0
499,6,Male,1,0,0
500,50,Male,1,0,0
501,30,Male,1,1,0
502,33,Male,1,0,0
503,48,Male,1,0,0
504,22,Female,1,0,0
505,12,Male,1,1,0
506,39,Male,1,0,0
507,15,Male,1,0,0
508,50,Male,1,0,0
509,12,Male,1,1,0
510,45,Male,1,1,0
511,49,Male,1,1,0
512,19,Male,0,0,0
513,33,Female,1,0,0
514,47,Male,1,1,0
515,18,Female,1,0,0
516,22,Male,1,1,0
517,31,Male,1,0,0
518,6,Female,1,1,0
519,21,Male,1,1,0
520,11,Female,1,1,0
521,37,Male,0,1,0
522,19,Male,0,1,0
523,14,Male,1,1,0
524,40,Female,1,1,0
525,46,Female,1,0,0
526,38,Male,1,0,0
527,37,Female,1,0,0
528,21,Female,1,1,0
529,37,Male,1,0,0
530,24,Female,1,0,0
531,39,Female,1,0,0
532,21,Male,1,1,0
533,1,Male,1,0,0
534,12,Male,1,0,0
535,39,Female,1,1,0
536,34,Male,0,1,0
537,23,Male,1,0,0
538,47,Male,1,0,0
539,32,Female,1,0,0
540,17,Male,1,1,0
541,43,Female,1,0,0
542,38,Male,1,1,0
543,21,Female,1,1,0
544,24,Female,1,1,0
545,30,Female,1,0,0
546,44,Male,1,1,0
547,32,Male,1,1,0
548,39,Male,1,1,0
549,14,Male,1,0,0
550,29,Male,1,0,0
551,36,Male,1,1,0
552,44,Male,1,0,0
553,9,Male,1,1,0
554,29,Female,1,0,0
555,2,Male,1,0,0
556,24,Male,1,1,0
557,11,Male,1,0,0
558,27,Female,1,0,0
559,20,Male,0,1,0
560,32,Male,0,1,0
561,50,Male,1,1,0
562,33,Male,1,0,0
563,10,Female,1,0,0
564,45,Male,1,0,0
565,26,Female,0,0,0
566,39,Male,1,0,0
567,45,Female,1,0,0
568,29,Male,1,0,0
569,30,Female,1,0,0
570,3,Male,1,1,0
571,50,Male,1,1,0
572,29,Male,1,1,0
573,21,Female,1,0,0
574,32,Female,1,0,0
575,32,Female,1,1,0
576,12,Male,0,0,0
577,26,Male,1,0,0
578,20,Female,1,1,0
579,42,Male,1,0,0
580,10,Male,1,1,0
581,20,Male,1,1,0
582,21,Male,1,0,0
583,8,Male,1,0,0
584,26,Male,1,1,0
585,49,Female,1,0,0
586,10,Male,0,1,0
587,18,Male,1,1,0
588,49,Male,1,0,0
589,32,Male,0,0,0
590,46,Female,1,0,0
591,5,Male,1,1,0
592,49,Male,1,1,0
593,33,Male,1,0,0
594,42,Male,0,0,0
595,24,Male,1,1,0
596,35,Male,1,1,0
597,14,Male,1,1,0
598,27,Female,1,0,0
599,18,Male,1,1,0
600,14,Male,1,1,0
601,48,Male,1,0,0
602,10,Male,1,0,0
603,50,Male,1,0,0
604,48,Male,1,0,0
605,5,Male,1,0,0
606,24,Female,0,0,0
607,11,Male,0,0,0
608,35,Male,1,1,0
609,27,Male,1,1,0
610,25,Male,1,0,0
611,43,Female,0,0,0
612,46,Male,1,0,0
613,4,Male,1,0,0
614,21,Male,1,1,0
615,13,Female,1,1,0
616,1,Male,1,0,0
617,2,Male,1,1,0
618,21,Male,1,0,0
619,18,Female,1,0,0
620,36,Male,1,0,0
621,7,Male,1,1,0
622,40,Male,1,1,0
623,41,Male,1,1,0
624,50,Male,1,1,0
625,23,Male,0,0,0
626,7,Male,1,0,0
627,45,Male,1,1,0
628,25,Female,1,1,0
629,38,Male,1,0,0
630,2,Female,1,1,0
631,10,Female,1,0,0
632,1,Male,0,1,0
633,38,Male,0,0,0
634,41,Male,1,0,0
635,48,Female,0,1,0
636,36,Male,1,1,0
637,29,Male,0,1,0
638,15,Female,1,1,0
639,20,Male,1,1,0
640,49,Male,1,0,0
641,47,Male,1,0,0
642,22,Male,1,0,0
643,40,Female,1,0,0
644,35,Male,0,0,0
645,10,Female,1,0,0
646,34,Male,1,0,0
647,40,Male,1,0,0
648,1,Male,1,0,0
649,34,Female,1,1,0
650,42,Male,1,1,0
651,16,Female,1,1,0
652,22,Male,1,1,0
653,27,Female,1,0,0
654,5,Male,1,1,0
655,39,Male,1,0,0
656,46,Male,1,0,0
657,47,Female,0,0,0
658,8,Male,1,0,0
659,23,Male,1,1,0
660,29,Female,0,1,0
661,32,Male,1,1,0
662,24,Male,1,0,0
663,9,Male,1,0,0
664,39,Male,1,1,0
665,24,Male,1,1,0
666,38,Male,1,1,0
667,5,Male,1,0,0
668,32,Male,1,0,0
669,31,Male,0,0,0
670,22,Male,1,1,0
671,41,Female,1,1,0
672,13,Male,1,0,0
673,50,Male,1,0,0
674,31,Male,0,0,0
675,25,Male,1,1,0
676,8,Male,1,1,0
677,13,Male,1,0,0
678,48,Female,1,0,0
679,22,Male,1,0,0
680,33,Male,1,1,0
681,44,Male,1,1,0
682,46,Male,1,1,0
683,14,Male,1,0,0
684,43,Female,1,0,0
685,47,Female,1,0,0
686,25,Male,1,0,0
687,6,Female,1,0,0
688,44,Male,1,1,0
689,15,Female,1,1,0
690,44,Male,1,1,0
691,28,Male,1,1,0
692,4,Male,1,1,0
693,33,Male,0,1,0
694,24,Male,1,0,0
695,34,Male,0,0,0
696,42,Female,1,1,0
697,12,Female,1,1,0
698,1,Male,1,1,0
699,38,Male,0,0,0
700,21,Male,1,0,0
701,13,Male,1,0,0
702,46,Male,1,0,0
703,48,Male,1,1,0
704,24,Male,1,0,0
705,41,Male,1,0,0
706,31,Male,1,1,0
707,25,Male,1,1,0
708,36,Male,0,0,0
709,3,Male,1,0,0
710,14,Male,1,0,0
711,50,Male,0,0,0
712,2,Male,1,1,0
713,16,Female,1,0,0
714,30,Male,0,0,0
715,28,Male,1,0,0
716,29,Male,1,1,0
717,33,Female,1,0,0
718,29,Male,1,0,0
719,20,Male,1,1,0
720,4,Female,1,1,0
721,48,Female,1,1,0
722,9,Male,0,0,0
723,18,Male,1,1,0
724,33,Male,1,1,0
725,41,Male,1,0,0
726,4,Female,1,0,0
727,38,Female,1,1,0
728,27,Male,1,0,0
729,48,Male,1,0,0
730,28,Male,1,1,0
731,47,Male,1,1,0
732,28,Male,1,0,0
733,33,Male,1,0,0
734,19,Female,0,1,0
735,5,Female,1,1,0
736,2,Male,1,0,0
737,47,Male,1,0,0
738,40,Male,1,1,0
739,14,Male,1,0,0
740,13,Male,1,0,0
741,3,Male,1,1,0
742,47,Male,0,1,0
743,12,Female,1,1,0
744,9,Male,1,0,0
745,30,Male,1,0,0
746,14,Female,1,1,0
747,7,Female,1,1,0
748,1,Female,1,0,0
749,47,Male,1,1,0
750,29,Male,1,0,0
751,10,Male,1,1,0
752,31,Female,1,1,0
753,4,Female,1,0,0
754,39,Male,1,1,0
755,19,Female,1,0,0
756,5,Female,1,1,0
757,36,Male,1,1,0
758,35,Male,1,1,0
759,10,Male,1,0,0
760,26,Female,1,1,0
761,2,Male,1,1,0
762,10,Male,1,0,0
763,1,Male,1,1,0
764,21,Male,1,0,0
765,14,Female,1,0,0
766,2,Female,1,1,0
767,13,Female,1,1,0
768,21,Male,0,0,0
769,29,Female,1,1,0
770,16,Male,1,0,0
771,19,Female,1,0,0
772,35,Female,0,0,0
773,6,Male,1,0,0
774,9,Female,1,0,0
775,19,Female,1,0,0
776,27,Male,1,1,0
777,19,Male,1,0,0
778,19,Male,0,0,0
779,4,Female,1,1,0
780,44,Male,0,0,0
781,1,Female,1,0,0
782,22,Male,1,0,0
783,28,Male,0,0,0
784,3,Female,1,1,0
785,29,Male,0,0,0
786,8,Male,0,0,0
787,12,Male,1,1,0
788,13,Female,1,1,0
789,42,Female,1,0,0
790,5,Male,0,1,0
791,20,Male,1,0,0
792,50,Male,1,1,0
793,6,Female,1,1,0
794,27,Male,1,1,0
795,14,Male,1,1,0
796,37,Male,1,1,0
797,6,Male,1,0,0
798,14,Female,0,0,0
799,47,Male,1,1,0
800,37,Male,1,1,0
801,29,Male,1,0,0
802,8,Female,1,0,0
803,44,Female,1,0,0
804,16,Female,0,0,0
805,43,Male,1,1,0
806,35,Male,1,1,0
807,27,Male,1,0,0
808,45,Male,1,1,0
809,26,Female,1,0,0
810,37,Male,1,0,0
811,24,Male,1,1,0
812,23,Male,1,1,0
813,41,Male,1,0,0
814,27,Female,1,1,0
815,1,Male,1,0,0
816,24,Male,1,1,0
817,19,Male,1,1,0
818,20,Male,1,1,0
819,24,Female,1,1,1
820,35,Male,1,1,0
821,7,Male,1,0,0
822,9,Male,1,1,0
823,1,Male,1,0,0
824,22,Female,1,0,0
825,18,Male,1,0,0
826,11,Female,0,0,0
827,29,Male,1,0,0
828,32,Male,1,1,0
829,24,Male,1,0,0
830,18,Male,1,0,0
831,20,Male,1,0,0
832,5,Female,0,0,0
833,39,Male,1,1,0
834,25,Male,1,1,0
835,38,Male,1,0,0
836,50,Male,1,0,0
837,27,Male,0,0,0
838,41,Male,0,0,0
839,10,Male,1,0,0
840,9,Female,1,0,0
841,27,Female,1,0,0
842,7,Male,1,0,0
843,41,Male,1,0,0
844,45,Female,1,1,0
845,26,Male,1,0,0
846,40,Male,1,1,0
847,2,Male,1,0,0
848,6,Male,1,1,0
849,25,Male,1,1,0
850,5,Female,1,0,0
851,26,Male,1,1,0
852,26,Female,1,0,0
853,37,Male,1,1,0
854,44,Male,1,0,0
855,48,Male,1,1,0
856,25,Female,1,1,0
857,38,Male,1,0,0
858,15,Male,1,0,0
859,20,Male,0,0,0
860,21,Male,1,0,0
861,3,Female,1,1,0
862,33,Male,1,1,0
863,26,Female,0,0,0
864,35,Male,1,0,0
865,28,Male,1,1,0
866,3,Male,1,0,0
867,16,Female,1,1,0
868,4,Male,1,1,0
869,30,Male,1,0,0
870,9,Male,1,1,0
871,2,Male,1,0,0
872,48,Female,1,1,0
873,38,Female,1,1,0
874,7,Female,0,0,0
875,27,Male,1,1,0
876,8,Male,1,1,0
877,46,Male,1,1,0
878,21,Male,1,1,0
879,19,Male,1,1,0
880,19,Male,1,1,0
881,37,Male,1,1,0
882,27,Male,1,1,0
883,8,Female,1,1,0
884,37,Female,0,0,0
885,30,Female,1,1,0
886,37,Male,1,1,0
887,48,Female,1,1,0
888,28,Male,1,1,0
889,6,Male,1,0,0
890,17,Male,0,1,0
891,33,Male,1,0,0
892,42,Male,1,1,0
893,21,Male,1,0,0
894,44,Male,1,1,0
895,12,Male,1,0,0
896,48,Female,1,0,0
897,30,Male,1,1,0
898,11,Male,1,0,0
899,38,Male,1,1,0
900,33,Male,1,0,0
901,13,Male,1,1,0
902,1,Female,1,0,0
903,9,Male,1,1,0
904,27,Male,1,1,0
905,32,Male,1,1,0
906,27,Male,1,1,0
907,37,Female,1,0,0
908,42,Male,0,0,0
909,5,Male,1,1,0
910,4,Male,1,1,0
911,39,Male,0,1,0
912,17,Female,1,1,0
913,14,Male,0,1,0
914,15,Male,1,1,0
915,9,Female,0,1,0
916,11,Male,1,0,0
917,11,Female,1,0,0
918,14,Female,1,0,0
919,11,Male,1,0,0
920,15,Male,1,1,0
921,3,Male,1,0,0
922,46,Male,1,1,0
923,50,Male,1,1,0
924,34,Male,1,1,0
925,32,Female,1,0,0
926,8,Male,1,1,0
927,26,Male,1,1,0
928,10,Female,1,1,0
929,43,Male,0,0,0
930,39,Male,1,0,0
931,38,Male,1,0,0
932,30,Male,1,1,0
933,4,Female,1,0,0
934,4,Male,0,1,0
935,45,Male,0,0,0
936,46,Male,1,1,0
937,10,Female,1,1,0
938,45,Male,1,0,0
939,32,Female,1,0,0
940,18,Male,1,1,0
941,44,Male,1,0,0
942,48,Male,1,1,0
943,49,Male,1,1,0
944,15,Male,1,1,0
945,15,Male,1,1,0
946,20,Female,0,0,0
947,29,Male,1,1,0
948,43,Male,1,1,0
949,20,Male,1,1,0
950,38,Male,1,1,0
951,4,Male,1,1,0
952,43,Male,1,1,0
953,7,Male,1,0,0
954,9,Male,1,0,0
955,21,Female,1,0,0
956,13,Female,1,0,0
957,33,Female,1,0,0
958,38,Female,1,1,0
959,24,Male,1,0,0
960,36,Male,1,1,0
961,26,Male,1,0,0
962,15,Male,1,1,0
963,28,Male,1,1,0
964,44,Male,1,0,0
965,7,Male,1,0,0
966,24,Female,0,1,0
967,42,Male,1,1,0
968,41,Male,1,0,0
969,30,Female,1,0,0
970,24,Male,1,1,0
971,40,Female,1,1,0
972,32,Female,1,1,0
973,30,Male,1,0,0
974,16,Female,1,1,0
975,32,Female,1,0,0
976,10,Female,1,0,0
977,28,Male,0,1,0
978,24,Female,1,1,0
979,44,Female,1,0,0
980,6,Male,1,1,0
981,47,Male,1,0,0
982,39,Male,1,1,0
983,7,Male,1,0,0
984,26,Female,1,1,0
985,32,Male,1,0,0
986,48,Male,1,0,0
987,39,Male,1,1,0
988,24,Male,1,1,0
989,38,Female,1,0,0
990,4,Male,1,0,0
991,36,Male,1,0,0
992,18,Male,0,1,0
993,46,Male,1,1,0
994,9,Male,1,1,0
995,5,Male,1,0,0
996,21,Male,1,0,0
997,24,Female,1,0,0
998,19,Male,1,0,0
999,50,Male,1,1,0
1000,27,Female,1,1,0
1001,38,Male,1,0,0
1002,31,Female,1,0,0
1003,9,Male,1,0,0
1004,16,Male,1,0,0
1005,42,Male,1,0,0
1006,49,Male,1,1,0
1007,49,Male,1,0,0
1008,43,Male,1,0,0
1009,6,Female,1,1,0
1010,4,Male,1,0,0
1011,38,Female,1,1,0
1012,33,Male,1,0,0
1013,48,Male,1,0,0
1014,22,Male,0,0,0
1015,9,Male,1,0,0
1016,21,Male,1,0,0
1017,16,Male,1,0,0
1018,11,Male,1,1,0
1019,49,Male,1,1,0
1020,32,Male,0,0,0
1021,33,Male,1,0,0
1022,31,Male,1,1,0
1023,15,Male,1,0,0
1024,42,Male,1,1,0
1025,36,Male,1,1,0
1026,8,Male,1,1,0
1027,37,Male,1,1,0
1028,30,Female,1,0,0
1029,8,Male,0,1,0
1030,36,Female,1,0,0
1031,7,Female,1,0,0
1032,18,Male,0,0,0
1033,19,Female,1,1,0
1034,34,Female,1,1,0
1035,43,Male,1,0,0
1036,15,Male,1,0,0
1037,11,Male,1,1,0
1038,19,Male,1,1,0
1039,15,Male,1,0,0
1040,32,Male,0,0,0
1041,3,Male,1,0,0
1042,14,Male,1,0,0
1043,3,Male,1,1,0
1044,31,Male,1,0,0
1045,42,Male,1,0,0
1046,27,Male,1,0,0
1047,3,Female,0,0,0
1048,35,Male,1,0,0
1049,4,Female,1,0,0
1050,37,Male,1,0,0
1051,23,Male,0,1,0
1052,8,Male,1,0,0
1053,38,Male,1,1,1
1054,13,Male,1,0,0
1055,42,Male,1,1,0
1056,38,Male,1,0,0
1057,17,Female,1,1,1
1058,50,Male,1,0,0
1059,29,Male,1,0,0
1060,26,Female,1,1,0
1061,44,Female,1,1,0
1062,19,Male,1,1,0
1063,28,Female,1,0,0
1064,11,Female,1,1,0
1065,22,Female,1,0,0
1066,7,Female,0,0,0
