,Date,Location,Type,Suspect_In_Custody,Weapon_Involved
173,2023-02-01,Urban,Speeding,No,False
174,2023-02-01,Urban,Speeding,No,False
175,2023-02-01,Suburban,Theft,No,False
176,2023-02-01,Urban,Theft,No,True
177,2023-01-31,Suburban,Speeding,Yes,False
178,2023-01-31,Urban,Jaywalking,No,False
179,2023-01-31,Urban,Theft,No,False
180,2023-01-31,Urban,Theft,Yes,False
181,2023-01-30,Rural,Speeding,No,False
182,2023-01-30,Suburban,Theft,Yes,True
183,2023-01-30,Urban,Blackmail,No,False
184,2023-01-30,Suburban,Theft,No,True
185,2023-01-30,Rural,Speeding,Yes,False
186,2023-01-30,Urban,Theft,No,False
187,2023-01-30,Rural,Speeding,No,False
188,2023-01-30,Urban,Speeding,No,False
189,2023-01-30,Suburban,Theft,No,False
190,2023-01-29,Suburban,Speeding,No,False
191,2023-01-29,Urban,Fraud,No,False
192,2023-01-29,Suburban,Speeding,No,False
193,2023-01-29,Suburban,Blackmail,No,False
194,2023-01-29,Urban,Jaywalking,No,False
195,2023-01-29,Urban,Jaywalking,Yes,False
196,2023-01-29,Rural,Jaywalking,No,False
197,2023-01-29,Urban,Speeding,Yes,False
198,2023-01-27,Rural,Blackmail,Yes,False
199,2023-01-27,Urban,Theft,Yes,False
200,2023-01-27,Urban,Jaywalking,Yes,False
201,2023-01-27,Urban,Theft,No,True
202,2023-01-27,Rural,Speeding,No,False
203,2023-01-27,Suburban,Theft,No,False
204,2023-01-27,Urban,Speeding,No,False
205,2023-01-27,Urban,Fraud,Yes,False
206,2023-01-27,Urban,Speeding,No,False
207,2023-01-27,Urban,Theft,No,True
208,2023-01-26,Urban,Theft,No,False
209,2023-01-26,Urban,Theft,No,False
210,2023-01-26,Urban,Speeding,No,False
211,2023-01-26,Suburban,Theft,No,False
212,2023-01-26,Urban,Blackmail,No,False
213,2023-01-26,Urban,Jaywalking,No,False
214,2023-01-26,Rural,Jaywalking,Yes,False
215,2023-01-25,Suburban,Speeding,Yes,False
216,2023-01-25,Urban,Jaywalking,No,False
217,2023-01-25,Rural,Speeding,No,False
218,2023-01-25,Suburban,Blackmail,No,False
219,2023-01-25,Suburban,Jaywalking,No,False
220,2023-01-24,Rural,Blackmail,No,False
221,2023-01-24,Urban,Jaywalking,No,False
222,2023-01-24,Urban,Theft,No,True
223,2023-01-24,Suburban,Speeding,Yes,False
224,2023-01-24,Urban,Speeding,No,False
225,2023-01-23,Rural,Speeding,No,False
226,2023-01-23,Urban,Blackmail,No,False
227,2023-01-23,Rural,Theft,No,False
228,2023-01-23,Suburban,Jaywalking,No,False
229,2023-01-23,Suburban,Blackmail,No,False
230,2023-01-23,Suburban,Theft,Yes,False
231,2023-01-21,Urban,Jaywalking,Yes,False
232,2023-01-21,Urban,Theft,No,True
233,2023-01-21,Rural,Theft,No,True
234,2023-01-21,Urban,Fraud,No,False
235,2023-01-21,Urban,Speeding,Yes,False
236,2023-01-21,Suburban,Jaywalking,No,False
237,2023-01-21,Urban,Theft,No,False
238,2023-01-21,Suburban,Fraud,No,False
239,2023-01-21,Urban,Theft,Yes,True
240,2023-01-20,Urban,Theft,No,True
241,2023-01-19,Rural,Jaywalking,Yes,False
242,2023-01-19,Suburban,Theft,No,False
243,2023-01-19,Urban,Jaywalking,No,False
244,2023-01-19,Suburban,Speeding,No,False
245,2023-01-19,Urban,Speeding,No,False
246,2023-01-19,Rural,Fraud,No,False
247,2023-01-18,Urban,Fraud,No,False
248,2023-01-17,Urban,Murder,No,True
249,2023-01-17,Urban,Jaywalking,Yes,False
250,2023-01-16,Suburban,Theft,No,True
251,2023-01-16,Urban,Fraud,No,False
252,2023-01-16,Urban,Car theft,Yes,False
253,2023-01-16,Urban,Theft,No,False
254,2023-01-16,Urban,Speeding,No,False
255,2023-01-16,Suburban,Blackmail,No,False
256,2023-01-15,Suburban,Theft,No,True
257,2023-01-15,Urban,Theft,Yes,True
258,2023-01-15,Suburban,Theft,No,False
259,2023-01-15,Suburban,Theft,Yes,True
260,2023-01-14,Rural,Jaywalking,Yes,False
261,2023-01-14,Urban,Blackmail,No,False
262,2023-01-14,Urban,Theft,No,True
263,2023-01-14,Suburban,Fraud,No,False
264,2023-01-14,Rural,Theft,Yes,True
265,2023-01-14,Rural,Theft,No,True
266,2023-01-14,Urban,Fraud,No,False
267,2023-01-14,Urban,Theft,Yes,True
268,2023-01-14,Urban,Jaywalking,No,False
269,2023-01-13,Urban,Speeding,No,False
270,2023-01-13,Urban,Blackmail,No,False
271,2023-01-13,Suburban,Jaywalking,No,False
272,2023-01-13,Urban,Speeding,No,False
273,2023-01-13,Urban,Theft,No,False
274,2023-01-12,Suburban,Blackmail,No,False
275,2023-01-12,Rural,Jaywalking,No,False
276,2023-01-12,Rural,Blackmail,No,False
277,2023-01-12,Rural,Theft,Yes,True
278,2023-01-12,Urban,Theft,No,False
279,2023-01-12,Suburban,Theft,Yes,True
280,2023-01-11,Urban,Theft,No,True
281,2023-01-11,Urban,Car theft,No,False
282,2023-01-11,Urban,Murder,No,True
283,2023-01-11,Suburban,Jaywalking,No,False
284,2023-01-11,Suburban,Jaywalking,No,False
285,2023-01-11,Rural,Speeding,No,False
286,2023-01-11,Urban,Jaywalking,No,False
287,2023-01-11,Suburban,Theft,No,False
288,2023-01-11,Urban,Theft,No,True
289,2023-01-10,Rural,Theft,Yes,True
290,2023-01-10,Urban,Theft,Yes,True
291,2023-01-10,Rural,Speeding,No,False
292,2023-01-10,Suburban,Fraud,No,False
293,2023-01-10,Suburban,Theft,No,True
294,2023-01-10,Suburban,Jaywalking,No,False
295,2023-01-10,Suburban,Blackmail,No,False
296,2023-01-10,Rural,Theft,No,True
297,2023-01-09,Rural,Theft,No,True
298,2023-01-09,Urban,Speeding,No,False
299,2023-01-09,Rural,Speeding,Yes,False
300,2023-01-09,Rural,Speeding,No,False
301,2023-01-09,Suburban,Theft,No,True
302,2023-01-06,Urban,Speeding,No,False
303,2023-01-06,Urban,Blackmail,No,False
304,2023-01-06,Suburban,Theft,Yes,True
305,2023-01-06,Suburban,Speeding,No,False
306,2023-01-06,Rural,Jaywalking,No,False
307,2023-01-06,Rural,Theft,Yes,True
308,2023-01-06,Suburban,Jaywalking,No,False
309,2023-01-06,Suburban,Theft,No,False
310,2023-01-05,Rural,Jaywalking,No,False
311,2023-01-05,Rural,Speeding,No,False
312,2023-01-04,Suburban,Jaywalking,No,False
313,2023-01-04,Suburban,Theft,Yes,False
314,2023-01-04,Urban,Theft,No,True
315,2023-01-04,Suburban,Blackmail,No,False
316,2023-01-04,Suburban,Speeding,No,False
317,2023-01-04,Suburban,Jaywalking,No,False
318,2023-01-04,Urban,Blackmail,No,False
319,2023-01-03,Urban,Speeding,Yes,False
320,2023-01-03,Urban,Theft,No,False
321,2023-01-03,Rural,Jaywalking,Yes,False
322,2023-01-03,Urban,Theft,No,False
323,2023-01-03,Urban,Speeding,Yes,False
324,2023-01-03,Urban,Speeding,No,False
325,2023-01-03,Urban,Theft,No,False
326,2023-01-03,Rural,Theft,No,True
327,2023-01-03,Urban,Jaywalking,No,False
328,2023-01-03,Suburban,Speeding,No,False
329,2023-01-02,Rural,Fraud,No,False
330,2023-01-02,Urban,Theft,No,True
331,2023-01-02,Urban,Theft,Yes,False
332,2023-01-02,Urban,Speeding,No,False
333,2023-01-02,Urban,Theft,No,False
334,2023-01-02,Urban,Jaywalking,Yes,False
335,2023-01-02,Urban,Speeding,No,False
336,2023-01-02,Suburban,Jaywalking,No,False
337,2023-01-02,Urban,Fraud,No,False
338,2023-01-02,Suburban,Theft,No,False
339,2023-01-01,Rural,Blackmail,No,False
340,2023-01-01,Urban,Theft,No,True
341,2023-01-01,Rural,Speeding,No,False
342,2023-01-01,Urban,Speeding,No,False
343,2023-01-01,Suburban,Jaywalking,No,False
344,2023-01-01,Suburban,Theft,No,True
345,2023-01-01,Urban,Theft,No,True
346,2022-12-31,Rural,Car theft,No,False
347,2022-12-31,Urban,Fraud,No,False
348,2022-12-31,Rural,Speeding,No,False
349,2022-12-31,Suburban,Speeding,No,False
350,2022-12-31,Urban,Car theft,No,False
351,2022-12-31,Urban,Theft,No,False
352,2022-12-31,Urban,Theft,No,False
353,2022-12-31,Suburban,Jaywalking,No,False
354,2022-12-31,Urban,Blackmail,Yes,False
355,2022-12-31,Urban,Speeding,No,False
356,2022-12-29,Suburban,Theft,No,False
357,2022-12-29,Rural,Theft,No,True
358,2022-12-29,Urban,Jaywalking,No,False
359,2022-12-29,Urban,Blackmail,No,False
360,2022-12-28,Suburban,Theft,No,False
361,2022-12-28,Rural,Jaywalking,No,False
362,2022-12-28,Urban,Jaywalking,No,False
363,2022-12-28,Urban,Theft,No,False
364,2022-12-27,Urban,Theft,No,True
365,2022-12-27,Suburban,Speeding,No,False
366,2022-12-27,Urban,Fraud,No,False
367,2022-12-26,Suburban,Speeding,No,False
368,2022-12-26,Rural,Theft,No,True
369,2022-12-26,Suburban,Jaywalking,No,False
370,2022-12-26,Suburban,Theft,No,True
371,2022-12-26,Urban,Jaywalking,Yes,False
372,2022-12-24,Urban,Speeding,No,False
373,2022-12-24,Suburban,Speeding,No,False
374,2022-12-24,Rural,Theft,No,False
375,2022-12-24,Suburban,Jaywalking,Yes,False
376,2022-12-24,Urban,Fraud,No,False
377,2022-12-24,Urban,Speeding,Yes,False
378,2022-12-24,Urban,Theft,No,True
379,2022-12-24,Suburban,Jaywalking,No,False
380,2022-12-22,Suburban,Blackmail,Yes,False
381,2022-12-22,Urban,Jaywalking,No,False
382,2022-12-22,Suburban,Theft,No,False
383,2022-12-22,Urban,Theft,No,True
384,2022-12-22,Rural,Jaywalking,No,False
385,2022-12-20,Urban,Jaywalking,No,False
386,2022-12-20,Suburban,Theft,Yes,True
387,2022-12-20,Rural,Fraud,Yes,False
388,2022-12-20,Rural,Jaywalking,No,False
389,2022-12-20,Urban,Speeding,No,False
390,2022-12-19,Urban,Theft,Yes,True
391,2022-12-19,Suburban,Theft,No,True
392,2022-12-18,Urban,Theft,Yes,False
393,2022-12-18,Urban,Theft,No,False
394,2022-12-18,Suburban,Theft,Yes,False
395,2022-12-18,Urban,Theft,No,False
396,2022-12-18,Urban,Theft,No,True
397,2022-12-18,Urban,Jaywalking,No,False
398,2022-12-17,Urban,Jaywalking,No,False
399,2022-12-17,Urban,Theft,No,False
400,2022-12-17,Urban,Speeding,No,False
401,2022-12-17,Urban,Fraud,No,False
402,2022-12-17,Urban,Theft,Yes,True
403,2022-12-17,Urban,Jaywalking,Yes,False
404,2022-12-16,Rural,Theft,No,True
405,2022-12-16,Urban,Jaywalking,No,False
406,2022-12-16,Urban,Speeding,No,False
407,2022-12-16,Urban,Theft,Yes,True
408,2022-12-15,Urban,Blackmail,No,False
409,2022-12-15,Urban,Jaywalking,Yes,False
410,2022-12-15,Rural,Fraud,No,False
411,2022-12-15,Suburban,Jaywalking,No,False
412,2022-12-15,Urban,Theft,Yes,False
413,2022-12-15,Urban,Speeding,Yes,False
414,2022-12-15,Urban,Theft,No,True
415,2022-12-15,Urban,Jaywalking,No,False
416,2022-12-15,Urban,Fraud,No,False
417,2022-12-14,Urban,Theft,Yes,True
418,2022-12-14,Rural,Speeding,No,False
419,2022-12-14,Urban,Speeding,No,False
420,2022-12-14,Suburban,Theft,Yes,True
421,2022-12-13,Urban,Theft,Yes,True
422,2022-12-13,Urban,Murder,Yes,True
423,2022-12-13,Urban,Jaywalking,No,False
424,2022-12-12,Rural,Speeding,No,False
425,2022-12-12,Rural,Car theft,No,False
426,2022-12-12,Rural,Fraud,No,False
427,2022-12-12,Urban,Theft,No,False
428,2022-12-12,Urban,Theft,No,False
429,2022-12-12,Rural,Jaywalking,No,False
430,2022-12-12,Urban,Theft,No,True
431,2022-12-12,Urban,Speeding,Yes,False
432,2022-12-11,Urban,Theft,No,False
433,2022-12-11,Suburban,Theft,No,True
434,2022-12-11,Suburban,Theft,Yes,True
435,2022-12-11,Suburban,Jaywalking,No,False
436,2022-12-11,Urban,Jaywalking,No,False
437,2022-12-11,Urban,Blackmail,No,False
438,2022-12-11,Urban,Jaywalking,Yes,False
439,2022-12-11,Rural,Fraud,No,False
440,2022-12-11,Urban,Theft,No,False
441,2022-12-10,Urban,Jaywalking,No,False
442,2022-12-10,Rural,Theft,Yes,True
443,2022-12-10,Urban,Theft,No,False
444,2022-12-10,Suburban,Speeding,No,False
445,2022-12-10,Suburban,Theft,No,False
446,2022-12-10,Urban,Fraud,No,False
447,2022-12-10,Urban,Theft,No,True
448,2022-12-10,Urban,Theft,No,True
449,2022-12-10,Suburban,Theft,Yes,True
450,2022-12-10,Suburban,Theft,No,True
451,2022-12-09,Urban,Jaywalking,Yes,False
452,2022-12-09,Urban,Theft,No,True
453,2022-12-09,Urban,Theft,Yes,True
454,2022-12-09,Urban,Jaywalking,Yes,False
455,2022-12-09,Rural,Jaywalking,No,False
456,2022-12-09,Rural,Theft,No,True
457,2022-12-09,Urban,Speeding,No,False
458,2022-12-08,Urban,Blackmail,No,False
459,2022-12-08,Suburban,Speeding,No,False
460,2022-12-07,Urban,Theft,Yes,True
461,2022-12-07,Suburban,Theft,No,False
462,2022-12-07,Rural,Fraud,No,False
463,2022-12-07,Suburban,Theft,No,True
464,2022-12-07,Urban,Jaywalking,No,False
465,2022-12-06,Urban,Theft,Yes,False
466,2022-12-06,Urban,Fraud,No,False
467,2022-12-06,Urban,Theft,No,False
468,2022-12-06,Urban,Fraud,No,False
469,2022-12-05,Suburban,Jaywalking,No,False
470,2022-12-05,Rural,Theft,No,False
471,2022-12-05,Rural,Speeding,No,False
472,2022-12-05,Urban,Speeding,No,False
473,2022-12-05,Suburban,Fraud,No,False
474,2022-12-05,Rural,Speeding,No,False
475,2022-12-04,Rural,Fraud,No,False
476,2022-12-04,Urban,Speeding,No,False
477,2022-12-04,Rural,Theft,No,True
478,2022-12-03,Urban,Jaywalking,No,False
479,2022-12-03,Rural,Speeding,Yes,False
480,2022-12-03,Urban,Speeding,No,False
481,2022-12-03,Rural,Speeding,No,False
482,2022-12-03,Suburban,Theft,No,False
483,2022-12-03,Urban,Blackmail,No,False
484,2022-12-03,Suburban,Theft,No,False
485,2022-12-03,Rural,Jaywalking,No,False
486,2022-12-03,Urban,Speeding,No,False
487,2022-12-03,Urban,Theft,No,True
488,2022-12-02,Rural,Theft,No,True
489,2022-12-02,Suburban,Theft,No,False
490,2022-12-02,Urban,Fraud,No,False
491,2022-12-02,Suburban,Theft,Yes,True
492,2022-12-02,Urban,Theft,No,True
493,2022-12-02,Rural,Blackmail,No,False
494,2022-12-01,Rural,Theft,No,True
495,2022-12-01,Urban,Speeding,No,False
496,2022-12-01,Urban,Speeding,No,False
497,2022-12-01,Urban,Jaywalking,No,False
498,2022-12-01,Urban,Speeding,No,False
499,2022-12-01,Urban,Speeding,No,False
500,2022-12-01,Urban,Jaywalking,No,False
501,2022-11-30,Urban,Speeding,No,False
502,2022-11-30,Urban,Jaywalking,No,False
503,2022-11-30,Rural,Fraud,No,False
504,2022-11-29,Rural,Theft,Yes,False
505,2022-11-29,Urban,Speeding,Yes,False
506,2022-11-29,Urban,Theft,Yes,False
507,2022-11-29,Suburban,Blackmail,No,False
508,2022-11-29,Suburban,Theft,Yes,True
509,2022-11-29,Rural,Car theft,Yes,False
510,2022-11-28,Urban,Fraud,Yes,False
511,2022-11-28,Suburban,Speeding,No,False
512,2022-11-28,Urban,Theft,No,False
513,2022-11-28,Urban,Theft,No,False
514,2022-11-28,Urban,Jaywalking,No,False
515,2022-11-28,Suburban,Blackmail,No,False
516,2022-11-28,Suburban,Theft,Yes,False
517,2022-11-27,Urban,Blackmail,No,False
518,2022-11-27,Urban,Theft,No,False
519,2022-11-27,Rural,Jaywalking,No,False
520,2022-11-27,Urban,Car theft,No,False
521,2022-11-27,Urban,Theft,No,False
522,2022-11-27,Urban,Jaywalking,No,False
523,2022-11-27,Suburban,Car theft,No,False
524,2022-11-27,Rural,Murder,No,True
525,2022-11-26,Rural,Theft,No,True
526,2022-11-26,Urban,Theft,No,False
527,2022-11-26,Urban,Theft,No,False
528,2022-11-26,Suburban,Speeding,No,False
529,2022-11-26,Suburban,Jaywalking,No,False
530,2022-11-26,Rural,Fraud,No,False
531,2022-11-26,Urban,Speeding,No,False
532,2022-11-26,Urban,Theft,No,False
533,2022-11-26,Suburban,Fraud,No,False
534,2022-11-26,Urban,Speeding,No,False
535,2022-11-23,Urban,Jaywalking,No,False
536,2022-11-23,Suburban,Fraud,No,False
537,2022-11-23,Rural,Theft,No,False
538,2022-11-23,Rural,Jaywalking,No,False
539,2022-11-23,Urban,Blackmail,No,False
540,2022-11-23,Urban,Theft,No,False
541,2022-11-23,Suburban,Theft,No,True
542,2022-11-22,Urban,Theft,No,True
543,2022-11-21,Rural,Speeding,No,False
544,2022-11-21,Urban,Speeding,No,False
545,2022-11-20,Urban,Jaywalking,Yes,False
546,2022-11-20,Rural,Theft,No,False
547,2022-11-20,Urban,Speeding,No,False
548,2022-11-20,Suburban,Theft,No,True
549,2022-11-20,Suburban,Fraud,Yes,False
550,2022-11-18,Suburban,Speeding,No,False
551,2022-11-18,Urban,Theft,No,False
552,2022-11-18,Suburban,Jaywalking,No,False
553,2022-11-18,Urban,Jaywalking,No,False
554,2022-11-18,Suburban,Fraud,No,False
555,2022-11-18,Urban,Fraud,Yes,False
556,2022-11-17,Urban,Theft,Yes,True
557,2022-11-16,Urban,Jaywalking,No,False
558,2022-11-16,Urban,Theft,No,True
559,2022-11-16,Urban,Jaywalking,No,False
560,2022-11-16,Rural,Speeding,No,False
561,2022-11-16,Rural,Jaywalking,Yes,False
562,2022-11-16,Urban,Speeding,No,False
563,2022-11-16,Suburban,Speeding,No,False
564,2022-11-15,Urban,Jaywalking,No,False
565,2022-11-15,Urban,Fraud,Yes,False
566,2022-11-15,Urban,Theft,No,False
567,2022-11-15,Urban,Blackmail,No,False
568,2022-11-15,Urban,Fraud,Yes,False
569,2022-11-15,Urban,Jaywalking,No,False
570,2022-11-15,Urban,Fraud,No,False
571,2022-11-15,Urban,Speeding,Yes,False
572,2022-11-14,Urban,Theft,No,False
573,2022-11-14,Suburban,Theft,Yes,True
574,2022-11-13,Rural,Jaywalking,No,False
575,2022-11-13,Urban,Jaywalking,No,False
576,2022-11-13,Urban,Jaywalking,Yes,False
577,2022-11-13,Rural,Speeding,No,False
578,2022-11-13,Suburban,Speeding,No,False
579,2022-11-13,Urban,Speeding,No,False
580,2022-11-12,Urban,Speeding,No,False
581,2022-11-12,Suburban,Speeding,Yes,False
582,2022-11-12,Rural,Speeding,No,False
583,2022-11-12,Rural,Theft,No,True
584,2022-11-12,Rural,Speeding,No,False
585,2022-11-12,Urban,Speeding,No,False
586,2022-11-11,Urban,Speeding,No,False
587,2022-11-11,Rural,Blackmail,No,False
588,2022-11-11,Urban,Fraud,No,False
589,2022-11-11,Urban,Speeding,No,False
590,2022-11-11,Suburban,Jaywalking,No,False
591,2022-11-11,Urban,Jaywalking,No,False
592,2022-11-11,Rural,Speeding,No,False
593,2022-11-09,Suburban,Speeding,No,False
594,2022-11-09,Urban,Theft,No,False
595,2022-11-09,Urban,Theft,No,True
596,2022-11-09,Urban,Jaywalking,No,False
597,2022-11-09,Suburban,Speeding,No,False
598,2022-11-09,Rural,Jaywalking,No,False
599,2022-11-08,Suburban,Fraud,No,False
600,2022-11-08,Urban,Speeding,No,False
601,2022-11-08,Urban,Theft,Yes,True
602,2022-11-08,Rural,Speeding,No,False
603,2022-11-08,Suburban,Fraud,No,False
604,2022-11-08,Suburban,Theft,No,False
605,2022-11-08,Urban,Blackmail,No,False
606,2022-11-07,Urban,Jaywalking,No,False
607,2022-11-07,Rural,Theft,Yes,False
608,2022-11-07,Suburban,Speeding,Yes,False
609,2022-11-07,Urban,Blackmail,No,False
610,2022-11-07,Urban,Theft,No,False
